UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE,GREGMAT,IELTSTOEFL
University of Florida Gainesville,Florida usa,5.6 , GMAT 680 | TOEFL 80 ,35, GMAT 680 , TOEFL 80 
Rockefeller University New York City,New York usa,5.6 ,N/A,,N/A,
Arizona State University Tempe,Arizona usa,5.5 , GMAT 685 | IELTS 6.5 ,25, GMAT 685 , IELTS 6.5 
University of California Irvine,California usa,5.5 , TOEFL 80 ,26, TOEFL 80 ,
University of Cincinnati Cincinnati,Ohio usa,5.5 , GMAT 650 | TOEFL 90 ,29, GMAT 650 , TOEFL 90 
University of Virginia Charlottesville,Virginia usa,5.5 , GMAT 706 | TOEFL 106 ,68, GMAT 706 , TOEFL 106 
University of Miami Coral Gables,Florida usa,5.5 , GRE 300 | TOEFL 80 ,63, GRE 300 , TOEFL 80 
Georgetown University Washington,District of Columbia usa,5.5 , GMAT 693 | IELTS 7 ,55, GMAT 693 , IELTS 7 
University of Illinois Chicago,Illinois usa,5.4 , GMAT 580 | IELTS 7.5 ,23, GMAT 580 , IELTS 7.5 
Indiana University Bloomington,Indiana usa,5.4 , GMAT 666 | TOEFL 100 ,51, GMAT 666 , TOEFL 100 
University of Utah Salt Lake City,Utah usa,5.4 , GMAT 639 | TOEFL 100 ,31, GMAT 639 , TOEFL 100 
Rutgers University - New Jersey New Brunswick,New Jersey usa,5.3 , IELTS 6.5 ,48, IELTS 6.5 ,
University of Arizona Tucson,Arizona usa,5.3 , TOEFL 79 ,22, TOEFL 79 ,
University of Iowa Iowa City,Iowa usa,5.2 , TOEFL 81 ,30, TOEFL 81 ,
University of Colorado Denver,Colorado usa,5.2 ,N/A,31,N/A,
University of Texas - Rio Grande Valley Edinburg,Texas usa,5.2 ,N/A,15,N/A,
North Carolina State University Raleigh,North Carolina usa,5.2 , GRE 307 | TOEFL 100 ,87, GRE 307 , TOEFL 100 
Worcester Polytechnic Institute Worcester,Massachusetts usa,5.2 , GMAT 500 | TOEFL 84 ,37, GMAT 500 , TOEFL 84 
University of Hawaii at Manoa Honolulu,Hawaii usa,5.1 ,N/A,38,N/A,
University of Texas Dallas Richardson,Texas usa,5.1 , GMAT 681 | IELTS 6.5 ,35, GMAT 681 , IELTS 6.5 
Stony Brook University Stony Brook,New York usa,5.1 , IELTS 6.0 ,28, IELTS 6.0 ,
University of Nebraska Lincoln,Nebraska usa,5.1 ,N/A,34,N/A,
University of South Florida Tampa,Florida usa,5.1 , IELTS 6.5 ,27, IELTS 6.5 ,
George Washington University Washington,District of Columbia usa,5.1 , GMAT 710 | IELTS 7.0 ,54, GMAT 710 , IELTS 7.0 
California State University Fullerton,California usa,5.0 , IELTS 6.5 ,19, IELTS 6.5 ,
Colorado School of Mines Golden,Colorado usa,5.0 ,N/A,37,N/A,
Boise State University Boise,Idaho usa,5.0 ,N/A,25,N/A,
Binghamton University Binghamton,New York usa,5.0 , IELTS 6.5 ,22, IELTS 6.5 ,
